_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp,chars,errors,extra,missed
685160a50af9eada72c163b0,False,45.18,90.55,45.18,64.09,113;0;0;0,time,30,-1,0,30.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-17 12:33:41,113,0,0,0
68515fd30af9eada72c15941,False,48.79,96.85,48.79,68.2,244;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-17 12:30:11,244,0,0,0
68515f900af9eada72c155ee,False,36.0,87.68,36.0,49.64,180;0;0;0,time,60,-1,0,60.0,1,0.0,False,False,english,,normal,False,False,False,,2025-06-17 12:29:04,180,0,0,0
68515f460af9eada72c1527c,False,32.4,85.64,33.2,46.4,162;0;0;1,time,60,-1,0,60.0,1,0.0,False,False,english,,normal,False,False,False,,2025-06-17 12:27:50,162,0,0,1
68515f040af9eada72c14f64,False,38.0,88.13,38.8,54.81,190;1;0;0,time,60,-1,0,60.0,1,0.0,False,False,english,,normal,False,False,False,,2025-06-17 12:26:44,190,1,0,0
68515ebe0af9eada72c14c17,False,44.2,89.96,44.2,59.51,221;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-06-17 12:25:34,221,0,0,0
684fb236cf421023cbb403b7,False,42.6,90.2,42.6,54.39,213;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-16 05:57:10,213,0,0,0
684fb1eacf421023cbb400d9,False,44.99,89.19,45.99,57.01,225;1;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-16 05:55:54,225,1,0,0
684af6f7cf421023cb8f0cbb,False,38.99,88.39,38.99,54.74,195;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-12 15:49:11,195,0,0,0
684ad4c1cf421023cb8d54a6,False,41.4,91.81,41.4,52.51,207;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-06-12 13:23:13,207,0,0,0
6849ad27cf421023cb82c105,False,38.99,88.39,38.99,56.88,195;0;0;0,time,60,-1,0,60.02,0,0.0,False,False,english,,normal,False,False,False,,2025-06-11 16:21:59,195,0,0,0
6849ace3cf421023cb82bd5c,False,47.19,93.05,47.79,62.54,236;1;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-11 16:20:51,236,1,0,0
6847179dcf421023cb690f6e,False,44.59,89.29,44.59,55.34,223;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-09 17:19:25,223,0,0,0
6847172bcf421023cb6909c6,False,50.0,93.98,50.0,63.79,250;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-06-09 17:17:31,250,0,0,0
6845b237cf421023cb5c0e7e,False,51.19,95.94,51.99,69.35,256;1;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-08 15:54:31,256,1,0,0
68445efccf421023cb51ba2e,False,46.39,92.55,47.39,64.94,232;0;1;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-07 15:47:08,232,0,1,0
68427883cf421023cb40f30e,False,48.6,93.85,48.6,66.13,243;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-06-06 05:11:31,243,0,0,0
6841d74ecf421023cb3bdd26,False,48.99,95.37,48.99,66.57,245;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-05 17:43:42,245,0,0,0
68406f04cf421023cb2d5a78,False,48.0,95.26,48.2,62.25,240;1;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-06-04 16:06:28,240,1,0,0
683fd63bcf421023cb264bd7,False,45.6,94.31,45.6,63.1,228;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-06-04 05:14:35,228,0,0,0
683dad1ecf421023cb0ff11f,False,41.39,91.81,41.39,59.55,207;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-06-02 13:54:38,207,0,0,0
68393956cf421023cbe7ba7d,False,30.8,90.34,30.8,44.93,154;0;0;0,time,60,-1,0,60.0,1,0.0,False,False,english,,normal,False,False,False,,2025-05-30 04:51:34,154,0,0,0
6835e99dcf421023cbc4f95b,False,39.4,92.24,39.4,51.13,197;0;0;0,time,60,-1,0,60.0,1,0.0,False,False,english,,normal,False,False,False,,2025-05-27 16:34:37,197,0,0,0
6834760fdf21a5c1daf13e31,False,41.6,91.06,41.6,62.93,208;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-05-26 14:09:19,208,0,0,0
68275d2ddf21a5c1da6c5cef,False,46.59,93.28,46.59,63.25,233;0;0;0,time,60,-1,0,60.02,0,0.0,False,False,english,,normal,False,False,False,,2025-05-16 15:43:41,233,0,0,0
681e29d4df21a5c1da097ae4,False,48.99,92.54,49.39,64.97,245;1;0;0,time,60,-1,0,60.02,0,0.0,False,False,english,,normal,False,False,False,,2025-05-09 16:14:12,245,1,0,0
681da447df21a5c1da02d6e2,False,42.8,92.41,42.8,53.97,214;0;0;0,time,60,-1,0,60.0,0,0.0,False,False,english,,normal,False,False,False,,2025-05-09 06:44:23,214,0,0,0
6817441ff90991882ef1b311,False,47.99,93.54,47.99,64.16,240;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-05-04 10:40:31,240,0,0,0
68170049f90991882eef6df2,False,46.19,91.67,46.19,61.43,231;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-05-04 05:51:05,231,0,0,0
6814f819f90991882eddc26f,False,45.99,93.12,45.99,61.33,230;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-05-02 16:51:37,230,0,0,0
681451c1f90991882ed5945a,False,44.2,91.39,44.2,56.31,221;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-05-02 05:01:53,221,0,0,0
68135c44f90991882ec9d35d,False,44.79,93.39,44.79,60.31,224;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-05-01 11:34:27,224,0,0,0
680dc3e748f68b9fff2661ed,False,49.39,95.75,49.39,67.66,247;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-04-27 05:43:03,247,0,0,0
680bb137571a92858c98cf30,False,43.19,90.83,43.19,64.07,216;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-04-25 15:58:47,216,0,0,0
6807198b571a92858c62997e,False,45.59,93.6,46.59,66.59,228;1;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-04-22 04:22:35,228,1,0,0
6804b30e571a92858c4b0e23,False,41.8,89.03,41.8,62.06,209;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-04-20 08:40:46,209,0,0,0
6803ad55571a92858c42d6b6,False,43.99,91.02,43.99,60.46,220;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-04-19 14:04:05,220,0,0,0
6802930f571a92858c39ad38,False,33.4,85.37,33.4,45.36,167;0;0;0,time,60,-1,0,60.01,1,0.0,False,False,english,,normal,False,False,False,,2025-04-18 17:59:43,167,0,0,0
6801df39435c447d2b78d153,False,44.0,91.7,44.0,61.32,220;0;0;0,time,60,-1,0,60.0,1,0.0,False,False,english,,normal,False,False,False,,2025-04-18 05:12:25,220,0,0,0
680119bc435c447d2b70a301,False,39.39,93.43,39.39,59.39,197;0;0;0,time,60,-1,0,60.01,0,0.0,False,False,english,,normal,False,False,False,,2025-04-17 15:09:48,197,0,0,0
